system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_2_67_144,3084,2491,2228,2702,2694,2781,3411,3615,3956,3866,-0.033940814,-0.12386364,0.18977444,-0.18834485,2,0.5797063392843399,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58374323681149,31.447673678712857]}"
1_1_2_67_147,2880,2305,1087,1380,1326,2266,3315,3597,3910,3772,-0.08595023,-0.15169367,0.4935065,-0.47826087,2,0.02486095221919904,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5840588724571,31.447677168647107]}"
1_1_2_67_148,2802,2121,1117,1481,1443,2206,3352,3667,3830,3864,-0.07637076,-0.15500604,0.45268348,-0.4422896,2,0.32220343082827785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58416408435116,31.44767833178577]}"
1_1_2_67_149,2802,2121,1181,1494,1560,2206,3352,3667,3908,3864,-0.07692308,-0.16482861,0.42940745,-0.44687152,2,0.5638722326918433,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58426929625129,31.44767949483807]}"
1_1_2_67_150,2746,2111,1122,1404,1451,2121,3344,3748,3946,3877,-0.09400971,-0.17931859,0.46229386,-0.47514018,2,0.17491060156470517,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58437450815754,31.447680657803982]}"
1_1_2_67_152,2773,2147,1024,1408,1403,2275,3388,3788,4012,3901,-0.09335649,-0.1826087,0.4818098,-0.4804428,2,0.6168099281507509,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5845849319883,31.447682983476696]}"
1_1_2_67_156,2817,2157,1426,1892,1914,2384,3734,4018,4276,4254,-0.09307007,-0.20569576,0.38158318,-0.38651103,2,0.057157512263885546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58500577972286,31.447687633785623]}"
1_1_2_67_157,2817,2157,1212,1624,1626,2384,3734,4018,4352,4254,-0.11202159,-0.21411633,0.45600536,-0.45649263,2,0.06473888870560107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58511099167173,31.447688796146913]}"
1_1_2_67_161,2767,2152,1096,1446,1419,2034,3213,3566,3912,3731,-0.08940613,-0.17143285,0.4676421,-0.46024635,2,0.2520068193335345,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.5831133233827,31.447576498231168]}"
1_1_2_67_162,2767,2152,1172,1503,1540,2034,3213,3566,3974,3731,-0.08875489,-0.17905356,0.44142184,-0.4511594,2,0.6667165235136654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58321853512118,31.44757766214311]}"
1_1_2_67_165,3270,2803,1818,2036,2312,2792,3317,3552,3332,3557,0.04025345,-0.009391094,0.18072289,-0.2414307,2,0.5329324558903127,"{""geodesic"":false,""type"":""Point"",""coordinates"":[121.58353417037316,31.447581153360698]}"
