system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,BSI,NDBI,NDVI,NDWI,class,random,.geo
1_1_1_1_2_0_106,2342,1649,1142,1377,1218,1809,2914,3238,3524,3444,-0.13445173,-0.20150018,0.4862927,-0.43807387,0,0.5956404863066682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938945746496481,43.48043867491095]}"
1_1_1_1_2_0_107,2342,1649,1179,1407,1234,1809,2914,3238,3534,3444,-0.13716975,-0.20285909,0.48238254,-0.43047965,0,0.32817031572550603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939069330161622,43.48043657847402]}"
1_1_1_1_2_0_109,2397,1709,1142,1322,1191,1795,2847,3076,3222,3323,-0.097585514,-0.14682327,0.46023113,-0.4181338,0,0.5142891708453712,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939316497451959,43.4804323851997]}"
1_1_1_1_2_0_112,2135,1534,1124,1305,1180,1647,2673,3056,3010,3127,-0.109947644,-0.17006803,0.43675417,-0.39513326,0,0.5421515315790012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939687248287587,43.48042609428706]}"
1_1_1_1_2_0_113,2135,1534,1138,1314,1192,1647,2673,3056,3076,3127,-0.11762366,-0.18057954,0.44142455,-0.40136674,0,0.3151197096320044,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939810831872826,43.48042399704921]}"
1_1_1_1_2_0_114,2316,1609,1158,1376,1222,1764,3034,3226,3604,3523,-0.14746988,-0.21756756,0.49357647,-0.44738957,0,0.1279052237697832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939934415444748,43.48042189967788]}"
1_1_1_1_2_0_115,2316,1609,1167,1367,1241,1764,3034,3226,3416,3523,-0.12604423,-0.1919051,0.46703887,-0.42839223,0,0.27835815298294686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940057999003345,43.48041980217305]}"
1_1_1_1_2_0_118,2494,1866,1291,1502,1445,1877,2925,3133,3190,3391,-0.06437054,-0.12244898,0.3764833,-0.3597613,0,0.5459721887553001,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940428749599208,43.480413508857666]}"
1_1_1_1_2_0_119,2494,1866,1318,1540,1484,1877,2925,3133,3354,3391,-0.08023121,-0.14705883,0.38652337,-0.37065795,0,0.6349936401052985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940552333104518,43.480411410818895]}"
1_1_1_1_2_0_121,2419,1737,1156,1362,1239,1805,2830,3112,3092,3258,-0.07462686,-0.1221194,0.42784578,-0.38841492,0,0.5234545826125004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940799500075157,43.48040721434091]}"
1_1_1_1_2_0_122,2264,1631,1130,1343,1228,1736,2817,3054,3236,3232,-0.11122423,-0.17672728,0.4498208,-0.41340905,0,0.6042764153423468,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.940923083540486,43.48040511590168]}"
1_1_1_1_2_0_123,2264,1631,1163,1396,1214,1736,2817,3054,3490,3232,-0.14450867,-0.21306917,0.48384354,-0.42857143,0,0.0828466227331659,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.941046666992488,43.48040301732897]}"
1_1_1_1_2_0_124,2252,1597,1202,1388,1248,1694,2855,3159,3410,3379,-0.13708086,-0.20452137,0.46414772,-0.42142558,0,0.5102318858754861,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938819284106533,43.480350779542796]}"
1_1_1_1_2_0_125,2342,1649,1197,1411,1301,1809,2914,3238,3432,3444,-0.119197294,-0.18877728,0.45024297,-0.41730332,0,0.009846261439554915,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.938942867601773,43.4803486832459]}"
1_1_1_1_2_0_126,2342,1649,1258,1486,1396,1809,2914,3238,3454,3444,-0.11526627,-0.19185646,0.4243299,-0.39838058,0,0.16676214238786669,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.9390664510837,43.48034658681552]}"
1_1_1_1_2_0_127,2397,1709,1324,1570,1502,1795,2847,3076,3388,3323,-0.09441412,-0.1713051,0.3856851,-0.36668012,0,0.3591085699036871,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939190034552313,43.48034449025166]}"
1_1_1_1_2_0_130,2128,1546,1146,1292,1179,1561,2605,2811,3170,3025,-0.13236259,-0.196678,0.45780638,-0.4208875,0,0.0749602246518376,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.939560784878255,43.48033819975914]}"
